"beta","kappa","gamma","mu","S0","E0","I0","R0","obj_fn"
0.465835162436857,0.178542365195124,0.0682511950896703,0.0500946963793397,0.999999371276044,4.56335456239233e-07,4.1690986973462e-07,1.49751078583399e-06,118.39970108084
1.192541982379,0.81635014364061,0.753625008700381,0.123113579167656,0.999999737948591,1.59117371485055e-07,1.77598960180608e-07,4.64372393953704e-07,118.524222486117
0.252804384523502,0.714645191789587,0.692734929198229,0.435548232676473,0.999999723365193,7.54304706362683e-08,7.81284146001288e-08,1.60904411864706e-09,562.009835486859
1.62765570168945,0.0814969403670135,0.334417140236983,0.169205825614639,0.999999999998003,1.45442642066752e-06,1.4959644589961e-07,0.000157589752889046,121.961582741043
0.777887778905238,0.129542560396139,0.146463923987508,0.0837176030937248,0.999999357434503,3.43078993443937e-07,3.29797659009375e-07,1.05082065959895e-06,118.41392028305
1.0718640962032,0.141441055009973,0.350957246471113,0.110749970083655,0.99999918771188,5.97659242629428e-07,8.950105853351e-07,1.05102006594935e-12,129.059981816186
1.3813123725401,0.094530713737342,0.339446587570493,0.141477101345068,0.999998035601553,2.30758319252303e-06,1.99649931851775e-12,0.0041605363014427,126.51176203901
0.209157113188368,0.182768027044635,4.20888872781353e-07,0.0203597506879061,0.999991807085471,6.31215855556417e-06,1.01221248777624e-11,3.74743128031507e-06,140.310010339397
2.62491760330742,0.0356526119642763,0.589764668405271,0.246152441176616,0.999999999973175,1.68091290378198e-05,3.46313113722695e-06,0.00960127469491276,243.923073852219
0.533136963487645,0.137792190765123,0.0962647513644774,0.0562607505838829,0.999998891153459,7.86244540208662e-07,8.11089851180774e-07,1.27132236324575e-11,123.472826393158
0.625901711084956,1.0994961078279,0.696376343658764,0.934960585353228,0.999999723649211,7.51628809149427e-08,7.78182096586682e-08,3.9970850522984e-10,562.010502505089
0.258543130285574,0.083682027589949,2.3951087210403e-07,0.0242316836815123,0.999991512942571,4.68423574814909e-06,3.95094881998436e-06,3.08226762254961e-13,165.907367912734
0.530073516199309,0.976455429042643,0.572260636541215,0.796994968909346,0.999999723716381,7.50624898015747e-08,7.78042290239659e-08,1.02172506393165e-10,562.010372191423
2.25936842290369,0.190667702660679,0.912341815838239,0.24272837021033,0.999999498348021,3.29778137903787e-07,1.92876278874862e-07,0.0091824002970557,118.413083253232
1.13124084975608,0.197163264779236,0.49827014546339,0.115490590126825,0.999999999999066,1.27662104815957e-07,1.57596181492039e-06,6.43740122695637e-05,139.867234998662
0.454886801661118,1.08980911104692,0.673157318389317,0.977743344575836,0.999999723529339,7.52548526803927e-08,7.79841352061218e-08,9.24588687445555e-10,562.010466311876
0.456308046258099,0.966650969824358,0.880809295426017,0.701442475178969,0.999999723413118,7.53703228667897e-08,7.80930735120475e-08,1.30548715512878e-09,562.010097425873
0.938401181941097,0.168499712635585,0.264907241631723,0.100922654147698,0.999999388350587,2.93900631762645e-07,2.78216679471647e-07,8.71892584093341e-07,118.425718377768
0.266955087831413,0.430275430410332,1.08612810550386,0.879425634603526,0.999999723716729,7.50689499913711e-08,7.77970228077711e-08,8.59892739569643e-11,562.009942568957
